id,t,x,y
1,0,0.0,0.0
1,1,0.012593469365189494,0.04090014002838022
1,2,-0.06666600203253469,-0.12066209268583325
1,3,-0.22460315433664613,-0.17856550370855423
1,4,-0.012258495605452974,-0.03498413248151436
1,5,-0.12035950099308039,-0.1887459378599815
1,6,-0.27400390038213873,-0.02176825271017757
1,7,-0.1929163842939534,0.07171736424966381
1,8,0.02050327850360284,0.16350923034551484
1,9,-0.08912143188101693,0.11933429107657191
1,10,-0.262828868189001,0.17117995652689583
1,11,-0.25124975015050877,0.11376898596695528
1,12,-0.15449433233217996,0.05025102440791725
1,13,-0.27925760962585766,-0.16042401260188266
1,14,-0.17963238209951612,-0.24646500625027273
1,15,-0.17900806217021176,-0.15751152018294087
1,16,-0.01635376329293045,-0.2237830917992461
1,17,-0.05184170810697233,-0.3922735660210437
1,18,0.007828979503873026,-0.4763800146689986
1,19,0.08726837901031399,-0.39044591134157236
1,20,0.1701605325737054,-0.5264094476832439
1,21,0.26838091419629273,-0.6671166227879384
1,22,0.2726445325851622,-0.768537787298907
1,23,0.297697113185616,-0.5376032786596234
1,24,0.27343646957459455,-0.7193644420193146
1,25,0.2144344643100641,-0.7644905358169672
1,26,0.15491010554544163,-0.6733513126891262
1,27,0.1496114717520289,-0.64235872864225
1,28,0.04836814618082473,-0.6472938053570158
1,29,0.025181730478003376,-0.5766543204382054
1,30,-0.07931724850899133,-0.6551503074027154
1,31,-0.04921049672659913,-0.5464813900279135
1,32,0.013293724119594154,-0.5802811847661925
1,33,-0.08125955099161858,-0.4148981282820469
1,34,0.0399769937475644,-0.26655778163883004
1,35,0.08122237932207137,-0.2438340846285639
1,36,0.26712908065336666,-0.20505170538948309
1,37,0.24016825623546628,-0.256481414643614
1,38,0.15316326220978216,-0.19392937930700008
1,39,0.010314353649581443,-0.18568915988149914
1,40,-0.06750821613844456,0.0531101465686212
1,41,-0.07332715977278773,-0.033753027606177016
1,42,-0.21190212826092733,-0.238446772292711
1,43,-0.25856978279893417,-0.3650034623853502
1,44,-0.42042483281597653,-0.3012099796329963
1,45,-0.48986514121468416,-0.3236649950017531
1,46,-0.5484120339199361,-0.5629990610862142
1,47,-0.4910854419736128,-0.5490725024034511
1,48,-0.4894665968332488,-0.5202912562900947
1,49,-0.5771113148926819,-0.6507060214546523
1,50,-0.5769406072607973,-0.6280188994939723
1,51,-0.433369132453038,-0.666051168775123
1,52,-0.5091056818748645,-0.6011471288024722
1,53,-0.630315875056297,-0.659734019556481
1,54,-0.4863434747262425,-0.6634580768929167
1,55,-0.3069686433448574,-0.6240647805988984
1,56,-0.1924310055958003,-0.4661391498042441
1,57,-0.09545011491629396,-0.522665664449534
1,58,-0.14217646548385315,-0.592774742816873
1,59,-0.31470840111421744,-0.5269228140332984
1,60,-0.3930158828260336,-0.5485352134460663
1,61,-0.3597757147936792,-0.6891605677334947
1,62,-0.4290615365218225,-0.6781698450298733
1,63,-0.4501223704593223,-0.6285796647516888
1,64,-0.4939020817167294,-0.6013927268461554
1,65,-0.451840571267376,-0.6547267444855585
1,66,-0.42463134011420317,-0.7780621984822501
1,67,-0.5115111179727614,-0.9233018262401432
1,68,-0.3566487113465653,-1.0259962912576543
1,69,-0.39049831163830945,-1.0312875114398472
1,70,-0.40479211960893785,-0.8768920166171992
1,71,-0.36478445054076747,-0.7669438277026439
1,72,-0.34686088406489646,-0.4908598614438621
1,73,-0.3221637500428889,-0.4768443839693106
1,74,-0.5074312438074419,-0.6203219172772894
1,75,-0.30525518889681125,-0.6792250384553509
1,76,-0.21563354072096969,-0.680286604616716
1,77,-0.2788964310691433,-0.8546776657946482
1,78,-0.15958905091536352,-0.7308853790492077
